name,MinorMasterId,MLBAMId,age,level,team,Position,Throws,pscore,score_p,ip,krate,bbrate,chaserate,whiffrate,zcontact,velocity,spin_rate,xwoba,woba,savant_url,UPURL
Diego Perez,sa3068688,835479.0,17,Rk,CHW,P,0,5.970773590075662,0.08106219426974144,8.0,14.035088000000002,29.824561,12.686567164179106,23.07692307692308,87.5,0.0,0.0,0.0,0.48200000000000004,Diego-Perez-835479,/players/diego-perez/sa3068688/stats/pitching
Shai Romero,sa3067273,829476.0,18,Rk,LAD,P,0,13.220128577197512,0.41579315164220826,8.0,14.035088000000002,38.596491,16.216216216216218,35.2112676056338,70.21276595744679,0.0,0.0,0.0,0.455,Shai-Romero-829476,/players/shai-romero/sa3067273/stats/pitching
Matthew Hoskins,sa3034127,702614.0,22,Rk,TBR,P,0,3.931965858561399,0.029350104821802937,12.0,14.035088000000002,21.052632,31.904761904761894,18.421052631578945,100.0,0.0,0.0,0.0,0.34700000000000003,Matthew-Hoskins-702614,/players/matthew-hoskins/sa3034127/stats/pitching
Angel Lopez,sa3068379,832576.0,18,Rk,BOS,P,0,11.033442752620227,0.31795946890286514,10.1,17.543860000000002,14.035088000000002,20.560747663551396,15.730337078651687,88.05970149253731,0.0,0.0,0.0,0.444,Angel-Lopez-832576,/players/angel-lopez/sa3068379/stats/pitching
Edwin Mendoza,sa3068606,829710.0,18,Rk,ATH,P,0,16.637797621865097,0.5744234800838575,11.1,12.280702,19.298246,20.720720720720717,29.870129870129873,74.07407407407408,0.0,0.0,0.0,0.35,Edwin-Mendoza-829710,/players/edwin-mendoza/sa3068606/stats/pitching
Riley Stanford,sa3042934,702279.0,23,Rk,TBR,P,0,8.622267519722957,0.1893780573025856,13.1,21.052632,10.526316,44.11764705882353,28.000000000000004,96.0,0.0,0.0,0.0,0.314,Riley-Stanford-702279,/players/riley-stanford/sa3042934/stats/batting
Berlin Fransua,sa3069135,835949.0,18,Rk,ARI,P,0,17.371901730078214,0.6065688329839273,11.1,17.543860000000002,21.052632,26.495726495726494,31.645569620253173,83.33333333333334,0.0,0.0,0.0,0.40700000000000003,Berlin-Fransua-835949,/players/berlin-fransua/sa3069135/stats/pitching
Miguel Alvarez,sa3068602,829495.0,21,Rk,SDP,P,0,17.44360686892745,0.6093640810621943,11.2,33.333333,10.526316,29.064039408867,32.35294117647059,79.22077922077922,0.0,0.0,0.0,0.37200000000000005,Miguel-Alvarez-829495,/players/miguel-alvarez/sa3068602/stats/pitching
Jonaikel Meza,sa3024849,823848.0,19,Rk,CLE,P,0,17.187573988420063,0.59958071278826,11.2,19.298246,10.526316,24.352331606217607,27.51677852348993,80.3921568627451,0.0,0.0,0.0,0.43200000000000005,Jonaikel-Meza-823848,/players/jonaikel-meza/sa3024849/stats/pitching
Nick McAuliffe,sa3076251,800997.0,25,Rk,MIN,P,0,8.067192361383961,0.1628232005590496,12.2,40.350877,3.5087720000000004,41.721854304635755,38.793103448275865,69.23076923076923,0.0,0.0,0.0,0.321,Nick-McAuliffe-800997,/players/nick-mcauliffe/sa3037425/stats/pitching
Jesus Febles,sa3077281,838936.0,21,Rk,DET,P,0,3.0481426286081588,0.01816911250873515,8.0,10.526316,45.614035,8.0,22.950819672131143,85.71428571428571,0.0,0.0,0.0,0.449,Jesus-Febles-838936,0
Ranfi Vargas,sa3077587,838859.0,18,Rk,BOS,P,0,2.8755250976833016,0.013976240391334731,8.1,7.1428569999999985,35.714286,14.285714285714285,19.642857142857142,91.42857142857143,0.0,0.0,0.0,0.45299999999999996,Ranfi-Vargas-838859,0
Jefferson Timaure,sa3077002,837874.0,17,Rk,CHW,P,0,24.82691985362893,0.8350803633822502,12.2,19.642857,14.285714,16.40625,35.80246913580247,75.0,0.0,0.0,0.0,0.32899999999999996,Jefferson-Timaure-837874,0
Jake Barbee,sa3069299,834578.0,19,Rk,TEX,P,0,28.43294722346637,0.9126484975541579,11.1,26.785714000000002,12.5,34.693877551020414,39.130434782608695,69.04761904761905,0.0,0.0,0.0,0.359,Jake-Barbee-834578,/players/jacob-barbee/sa3069299/stats/pitching
Samuel Bello,sa3025144,828658.0,21,Rk,ARI,P,0,16.21259153068172,0.5520614954577219,12.2,28.571429,10.714286,29.464285714285715,29.67032967032967,75.86206896551724,0.0,0.0,0.0,0.35200000000000004,Samuel-Bello-828658,/players/samuel-bello/sa3025144/stats/pitching
Miguel Barras,sa3077379,837271.0,19,Rk,PIT,P,0,20.74223561427886,0.742837176799441,12.0,25.0,23.214285999999998,21.428571428571427,32.98969072164948,76.11940298507463,0.0,0.0,0.0,0.316,Miguel-Barras-837271,0
Bryan Lara,sa3068514,832440.0,18,Rk,LAD,P,0,13.390491020044047,0.42138364779874216,10.1,7.1428569999999985,21.428571,40.74074074074074,16.923076923076927,76.19047619047619,0.0,0.0,0.0,0.37200000000000005,Bryan-Lara-832440,/players/bryan-lara/sa3068514/stats/pitching
Luis Morales,sa3077558,837949.0,18,Rk,SDP,P,0,2.2704751472143103,0.009084556254367574,9.2,8.928571,35.714286,17.880794701986755,17.721518987341767,88.46153846153845,0.0,0.0,0.0,0.389,Luis-Morales-837949,0
Jhossua Castro,sa3068861,825184.0,20,Rk,ARI,P,0,15.566946241600744,0.5192173305380853,10.2,25.0,25.0,25.0,34.831460674157306,75.92592592592592,0.0,0.0,0.0,0.401,Jhossua-Castro-825184,/players/jhossua-castro/sa3068861/stats/pitching
Beinel Adon,sa3076475,838006.0,17,Rk,CHW,P,0,20.9140354602122,0.7435359888190077,9.0,21.428571,14.285714,15.178571428571427,28.40909090909091,78.8732394366197,0.0,0.0,0.0,0.439,Beinel-Adon-838006,0
Jerson Alejandro,sa3021533,808394.0,20,Rk,NYY,P,0,20.641723817705245,0.7386443046820406,10.2,29.090909,20.0,30.952380952380963,30.26315789473684,70.58823529411767,0.0,0.0,0.0,0.353,Jerson-Alejandro-808394,/players/jerson-alejandro/sa3021533/stats/pitching
Rafael Mejias,sa3076493,842263.0,21,Rk,WSN,P,0,9.374558400050192,0.2278127183787561,11.0,25.454545,23.636364,14.035087719298243,25.0,84.44444444444444,0.0,0.0,0.0,0.309,Rafael-Mejias-842263,0
Luis Arestigueta,sa3021521,808244.0,20,Rk,ATL,P,0,10.488168614059887,0.2914046121593291,11.2,16.363636,14.545455,34.246575342465746,19.101123595505616,82.05128205128204,0.0,0.0,0.0,0.29,Luis-Arestigueta-808244,/players/luis-arestigueta/sa3021521/stats/pitching
Anllelo Gutierrez,sa3076482,838976.0,17,Rk,LAA,P,0,11.29945077774328,0.3284416491963662,11.0,12.727273,10.909091,20.0,17.777777777777782,89.3939393939394,0.0,0.0,0.0,0.486,Anllelo-Gutierrez-838976,0
Keiver De Horta,sa3076454,837266.0,19,Rk,ATH,P,0,18.5653055375621,0.6512928022361985,13.1,30.909090999999997,20.0,21.014492753623188,27.27272727272727,79.66101694915254,0.0,0.0,0.0,0.223,Keiver-De-Horta-837266,0
Cristopher Alburquerque,sa3068498,830453.0,18,Rk,COL,P,0,10.417210477241614,0.28441649196366176,9.2,14.545455,16.363636,24.15730337078652,21.794871794871803,85.71428571428571,0.0,0.0,0.0,0.48700000000000004,Cristopher-Alburquerque-830453,/players/cristopher-alburquerque/sa3068498/stats/pitching
Jean Rodriguez,sa3024779,821177.0,19,Rk,MIL,P,0,21.099544446569467,0.7526205450733753,12.0,25.454545,23.636364,20.6896551724138,35.63218390804598,73.84615384615384,0.0,0.0,0.0,0.3,Jean-Rodriguez-821177,/players/jean-rodriguez/sa3024779/stats/pitching
Aitol Lopez,sa3077297,840338.0,17,Rk,CIN,P,0,11.909575615174509,0.352900069881202,9.2,14.545455,18.181818,23.711340206185564,20.779220779220783,79.62962962962962,0.0,0.0,0.0,0.364,Aitol-Lopez-840338,0
