name,MinorMasterId,MLBAMId,age,level,team,Position,Bats,pscore,score_p,pa,woba,xwoba,wrcplus,iso,bbrate,krate,chaserate,whiffrate,zcontact,ev90,maxev,barrelpa,bat_speed,spd,savant_url,UPURL
Sammy Hernandez,sa3020141,803679.0,22,A+,STL,C,0,33.96481244946468,0.9706959706959707,124,0.4620955610467541,0.0,161.8694089990091,0.247422681,19.3548387,16.9354838,20.29850746268657,19.696969696969692,90.4761904761905,0.0,0.0,0.0,0.0,4.893951135236584,Sammy-Hernandez-803679,/players/samuel-hernandez/sa3020141/stats/batting
Elijah Nunez,sa3022674,694399.0,24,A+,WSN,OF,0,15.14023662176682,0.46153846153846156,123,0.3750070488549829,0.0,118.71729797505492,0.11,16.260162599999997,22.7642276,19.863013698630137,25.41436464088398,86.50793650793649,0.0,0.0,0.0,0.0,8.126791224137937,Elijah-Nunez-694399,/players/elijah-nunez/sa3022674/stats/batting
Austin Charles,sa3020497,800051.0,22,A+,KCR,3B/SS,0,24.222746264370464,0.8040293040293041,123,0.391886010521748,0.0,121.68127994991957,0.185185185,9.756097500000001,21.9512195,36.46209386281589,27.510917030567683,86.20689655172413,0.0,0.0,0.0,0.0,7.42673275572634,Austin-Charles-800051,/players/austin-charles/sa3020497/stats/batting
John Spikerman,sa3025197,701811.0,23,A+,PHI,OF,0,21.80908741441681,0.7271062271062271,122,0.37090066125837423,0.0,116.94040687381771,0.086956521,18.852459,22.950819600000003,18.983050847457626,24.86772486772487,84.78260869565217,0.0,0.0,0.0,0.0,9.583205895624687,John-Spikerman-701811,/players/john-spikerman/sa3025197/stats/batting
Luis Peña,sa3024134,821270.0,19,A+,MIL,SS,0,31.30291003950787,0.9468864468864469,122,0.3712577472944729,0.0,106.24607939389132,0.088235294,13.114754,20.4918032,39.16083916083916,22.51082251082251,90.83969465648858,0.0,0.0,0.0,0.0,8.676713245317185,Luis-Peña-821270,/players/luis-pena/sa3024134/stats/batting
Angel Mateo,sa3018540,800377.0,21,A+,TBR,OF,0,12.165535922127493,0.32234432234432236,122,0.2625613119758544,0.0,47.50072655540423,0.109090909,7.377049099999999,26.2295081,32.028469750889684,32.6530612244898,84.0909090909091,0.0,0.0,0.0,0.0,4.99935630858127,Angel-Mateo-800377,/players/angel-mateo/sa3018540/stats/batting
Tre Richardson III,sa3022428,693832.0,24,A+,STL,2B,0,13.771213308304,0.40293040293040294,122,0.4949374071887282,0.0,181.62426028983475,0.384615384,12.2950819,28.6885245,28.776978417266182,33.82352941176471,74.65753424657535,0.0,0.0,0.0,0.0,9.079770890082038,Tre-Richardson-III-693832,/players/robert-richardson-iii/sa3022428/stats/batting
T.J. McCants,sa3025355,690996.0,25,A+,CHW,OF,0,3.213908381984228,0.031135531135531136,121,0.31289205831639905,0.0,80.13573924239648,0.125,10.743801600000001,33.884297499999995,32.34323432343234,43.64406779661017,70.39473684210526,0.0,0.0,0.0,0.0,3.3375834584811863,T.J.-McCants-690996,/players/torriano-mccants/sa3025355/stats/batting
Mac Guscette,sa3025221,691944.0,24,A+,ATL,C,0,8.416590314966447,0.1684981684981685,121,0.2598151707452191,0.0,53.892203242743044,0.066666667,7.438016499999999,14.0495867,32.6271186440678,18.98148148148148,89.92805755395683,0.0,0.0,0.0,0.0,2.40247252125,Mac-Guscette-691944,/players/mac-guscette/sa3032867/stats/batting
Carter Garate,sa3075165,804466.0,22,A+,TEX,2B/SS,0,8.37658219335125,0.16483516483516483,121,0.28868684930316474,0.0,63.9263243514359,0.118811882,7.438016499999999,29.752066100000004,39.194139194139204,34.78260869565217,83.07692307692308,0.0,0.0,0.0,0.0,3.6649949717602848,Carter-Garate-804466,/players/carter-garate/sa3031905/stats/batting
Bryce Eblin,sa3068921,694469.0,24,A+,CHW,2B,0,11.455638719517276,0.2857142857142857,120,0.34278717862457786,0.0,98.35992225636795,0.134020619,10.833333300000001,22.5,30.960854092526695,23.04147465437788,87.8205128205128,0.0,0.0,0.0,0.0,6.9097286037053705,Bryce-Eblin-694469,/players/bryce-eblin/sa3030762/stats/batting
Caleb Farmer,sa3020354,805957.0,26,A+,WSN,C,0,4.310860576097019,0.06227106227106227,120,0.35565908015275205,0.0,106.92270009609665,0.15625,14.1666666,21.666666600000003,26.21722846441948,27.71739130434783,78.90625,0.0,0.0,0.0,0.0,3.2078889416902348,Caleb-Farmer-805957,/players/caleb-farmer/sa3020354/stats/batting
Edward Duran,sa3016719,698927.0,22,A+,TOR,C,0,14.927772856551845,0.44505494505494503,119,0.2743853120242848,0.0,60.748132984536284,0.10619469,3.3613445,19.327731,39.24050632911392,20.535714285714285,90.44117647058823,0.0,0.0,0.0,0.0,5.22263801978431,Edward-Duran-698927,/players/edward-duran/sa3016719/stats/batting
