Name,POS,Average,Median,Minimum,Maximum,Last 10,Roster%,norm
Josh Hader HOU,RP,15.94,15.0,2,40,13.4,100%,josh hader
Mason Miller SDP,RP,15.65,15.0,7,32,21.5,100%,mason miller
Michael Harris II ATL,OF,15.55,15.0,5,52,14.3,100%,michael harris
CJ Abrams WSN,SS,15.26,15.0,7,31,17.5,100%,cj abrams
Edwin Diaz LAD,RP,15.19,14.0,3,36,9.7,98.256%,edwin diaz
Willy Adames SFG,SS,15.15,15.0,5,32,9.5,98.837%,willy adames
Byron Buxton MIN,OF,15.08,15.0,6,39,18.5,100%,byron buxton
Devin Williams NYM,RP,14.84,14.0,4,34,10.5,97.674%,devin williams
Bryan Reynolds PIT,OF,14.82,15.0,1,32,13.8,100%,bryan reynolds
Pete Crow-Armstrong CHC,OF,14.68,14.0,5,41,23.0,100%,pete crow armstrong
Jhoan Duran PHI,RP,14.36,14.0,8,35,18.7,100%,jhoan duran
Jesus Luzardo PHI,SP,14.25,14.0,1,39,21.3,100%,jesus luzardo
Kazuma Okamoto TOR,1B/3B,14.05,14.0,3,32,12.7,99.709%,kazuma okamoto
Roman Anthony BOS,OF,13.95,12.0,4,64,24.1,100%,roman anthony
Jackson Holliday BAL,2B/SS,13.75,14.0,4,28,11.6,99.419%,jackson holliday
Josh Naylor SEA,1B,13.61,13.0,2,31,9.1,95.349%,josh naylor
Andres Munoz SEA,RP,13.54,12.0,3,30,10.0,99.709%,andres munoz
Munetaka Murakami CHW,1B/3B,13.13,13.0,1,29,14.6,100%,munetaka murakami
Vinnie Pasquantino KCR,1B,13.11,13.0,3,28,7.1,93.314%,vinnie pasquantino
Michael King SDP,SP,13.08,13.0,6,23,12.2,100%,michael king
Yandy Diaz TBR,1B,12.6,12.0,3,26,12.4,100%,yandy diaz
Taylor Ward BAL,OF,12.51,12.0,4,26,13.7,100%,taylor ward
Eury Perez MIA,SP,12.39,12.0,4,38,13.6,100%,eury perez
Zach Neto LAA,SS,12.31,11.0,4,36,24.7,100%,zach neto
Carlos Rodon NYY,SP,11.94,12.0,2,32,8.1,98.547%,carlos rodon
Raisel Iglesias ATL,RP,11.9,10.0,1,30,12.1,100%,raisel iglesias
Ozzie Albies ATL,2B,11.8,11.0,1,36,11.1,100%,ozzie albies
MacKenzie Gore TEX,SP,11.56,11.0,1,28,10.3,99.419%,mackenzie gore
Shota Imanaga CHC,SP,11.53,10.0,1,34,6.7,96.802%,shota imanaga
Nathan Eovaldi TEX,SP,11.4,11.0,2,31,9.4,98.837%,nathan eovaldi
Isaac Paredes HOU,1B/3B,11.4,12.0,2,20,9.8,100%,isaac paredes
Luis Castillo SEA,SP,11.22,10.0,2,35,5.7,84.302%,luis castillo
Steven Kwan CLE,OF,11.21,11.0,1,23,7.1,70.349%,steven kwan
Shane McClanahan TBR,SP,11.15,11.0,2,32,11.1,100%,shane mcclanahan
Willson Contreras BOS,1B,10.95,10.5,1,26,7.9,100%,willson contreras
Adley Rutschman BAL,C,10.91,10.0,1,50,10.7,98.837%,adley rutschman
Tatsuya Imai HOU,SP,10.89,10.0,2,33,5.7,78.198%,tatsuya imai
Nico Hoerner CHC,2B/SS,10.84,11.0,3,24,8.4,98.837%,nico hoerner
George Springer TOR,OF,10.79,10.0,1,28,7.1,96.221%,george springer
Nick Lodolo CIN,SP,10.76,11.0,1,19,6.0,86.337%,nick lodolo
Brandon Lowe PIT,2B,10.74,10.0,3,23,12.6,100%,brandon lowe
Jeremy Pena HOU,SS,10.65,10.0,3,23,11.7,99.709%,jeremy pena
Brendan Donovan SEA,2B/SS/3B/OF,10.61,10.0,2,25,6.5,98.837%,brendan donovan
Ryan Helsley BAL,RP,10.58,10.0,1,25,6.0,63.663%,ryan helsley
Roki Sasaki LAD,SP,10.51,9.0,1,34,9.0,92.442%,roki sasaki
Gleyber Torres DET,2B,10.27,10.0,1,23,4.5,93.023%,gleyber torres
Zac Gallen ARI,SP,10.24,9.0,1,29,3.4,25.291%,zac gallen
Sandy Alcantara MIA,SP,10.15,10.0,3,25,7.5,99.709%,sandy alcantara
Gerrit Cole NYY,SP,9.86,9.0,2,28,12.4,100%,gerrit cole
Ranger Suarez BOS,SP,9.77,9.0,2,26,10.3,100%,ranger suarez
Michael Busch CHC,1B,9.68,9.0,3,25,8.6,99.419%,michael busch
Tanner Bibee CLE,SP,9.65,9.0,1,25,5.3,97.674%,tanner bibee
Brice Turang MIL,2B,9.54,9.0,3,34,17.9,100%,brice turang
