Name,POS,Average,Median,Minimum,Maximum,Last 10,Roster%,norm
Edmundo Sosa PHI,2B/SS/3B/OF,4.0,4.0,4,4,1.5,0.291%,edmundo sosa
Bryan De La Cruz PHI,OF,4.0,4.0,3,5,1.8,0.581%,bryan de la cruz
Anthony Banda MIN,RP,4.0,4.0,3,5,1.0,0.581%,anthony banda
Osleivis Basabe SFG AAA,2B/SS/3B,4.0,4.0,4,4,1.7,0.291%,osleivis basabe sfg
Mitchell Parker WSN,SP/RP,4.0,4.0,1,10,1.3,2.616%,mitchell parker
Adam Frazier LAA,2B/OF,4.0,4.0,1,7,1.7,0.581%,adam frazier
Brent Suter LAA,RP,4.0,4.0,4,4,1.3,0.291%,brent suter
Jonathon Long CHC AAA,1B,4.0,4.0,4,4,1.4,0.291%,jonathon long chc
Orelvis Martinez FA,2B,4.0,4.0,4,4,1.0,0.291%,orelvis martinez
Santiago Espinal TEX AAA,2B/3B/OF,4.0,4.0,1,7,1.4,0.581%,santiago espinal tex
Justyn-Henry Malloy TBR AAA,1B/OF,4.0,4.0,4,4,2.0,0.291%,justyn henry malloy tbr
Caleb Ferguson CIN,RP,4.0,4.0,4,4,1.4,0.291%,caleb ferguson
Jose Quintana COL,SP,4.0,4.0,4,4,1.1,0.291%,jose quintana
Brandon Sproat MIL,SP,3.99,4.0,1,12,2.3,92.151%,brandon sproat
Dennis Santana PIT,RP,3.9,3.0,1,12,2.3,26.744%,dennis santana
Jordan Beck COL AAA,OF,3.9,3.0,1,10,1.9,14.244%,jordan beck col
Will Vest DET,RP,3.88,3.0,1,11,2.1,32.558%,will vest
Miguel Vargas CHW,1B/3B,3.87,3.0,1,23,6.1,100%,miguel vargas
Cole Carrigg COL,OF,3.86,3.0,1,12,4.8,99.709%,cole carrigg
Camilo Doval NYY,RP,3.85,3.0,1,13,2.2,40.407%,camilo doval
Will Warren NYY,SP,3.84,3.0,1,14,4.2,99.419%,will warren
Caleb Durbin BOS,2B/3B,3.84,3.0,1,16,4.0,93.605%,caleb durbin
David Peterson CHC,SP/RP,3.82,3.0,1,12,2.5,34.593%,david peterson
Leo De Vries ATH AA,SS,3.8,3.0,1,11,4.7,99.709%,leo de vries ath
Jake Bennett BOS,SP,3.8,3.0,1,11,3.9,97.384%,jake bennett
Alex Lange KCR,RP,3.79,3.0,1,13,3.3,34.593%,alex lange
Didier Fuentes ATL,SP/RP,3.78,4.0,1,13,4.8,99.419%,didier fuentes
Josh Jung TEX,3B,3.77,3.0,1,17,5.6,100%,josh jung
Clayton Beeter WSN,RP,3.76,3.0,1,17,2.0,70.058%,clayton beeter
Alejandro Kirk TOR,C,3.76,3.0,1,12,2.1,73.547%,alejandro kirk
Lars Nootbaar STL,OF,3.73,3.0,1,19,2.9,97.093%,lars nootbaar
Otto Lopez MIA,2B/SS,3.73,3.0,1,21,4.8,100%,otto lopez
Max Meyer MIA,SP,3.71,3.0,1,16,5.1,99.709%,max meyer
Brett Baty NYM,1B/2B/3B/OF,3.68,3.0,1,11,2.9,60.756%,brett baty
Curtis Mead WSN,1B/2B/3B,3.68,3.0,1,18,5.6,99.419%,curtis mead
Zack Gelof ATH,2B/3B/OF,3.67,4.0,1,11,3.0,99.419%,zack gelof
Josh Lowe LAA,OF,3.67,2.0,1,14,1.8,28.779%,josh lowe
Andrew Walters CLE AAA,RP,3.67,3.0,1,7,1.2,0.872%,andrew walters cle
Zebby Matthews MIN,SP,3.66,3.0,1,9,2.7,66.57%,zebby matthews
Adrian Morejon SDP,RP,3.64,3.0,1,10,2.6,99.709%,adrian morejon
Nolan Schanuel LAA,1B,3.64,3.0,1,13,2.1,56.977%,nolan schanuel
Jorge Polanco NYM,2B/3B,3.61,3.0,1,13,2.5,56.686%,jorge polanco
Brady Singer CIN,SP,3.6,3.0,1,22,2.8,36.047%,brady singer
Hurston Waldrep ATL AAA,SP,3.6,3.0,1,13,2.6,60.174%,hurston waldrep atl
Lucas Erceg KCR,RP,3.6,3.0,1,17,3.0,49.128%,lucas erceg
Mick Abel MIN,SP,3.6,3.0,1,11,2.8,76.453%,mick abel
Vahn Lackey,Util,3.58,3.0,1,10,3.2,35.465%,vahn lackey
Jackson Flora,RP,3.58,3.0,1,13,3.3,26.744%,jackson flora
Reese Olson DET,SP,3.56,3.0,1,16,2.4,49.419%,reese olson
Cade Cavalli WSN,SP,3.56,3.0,1,12,3.1,99.419%,cade cavalli
Spencer Jones NYY,OF,3.55,3.0,1,14,2.6,93.605%,spencer jones
Quinn Priester MIL,SP/RP,3.55,3.0,1,12,2.1,31.395%,quinn priester
Tanner Scott LAD,RP,3.54,3.0,1,16,5.3,99.709%,tanner scott
Noah Schultz CHW,SP,3.54,3.0,1,13,3.7,98.547%,noah schultz
Mike Burrows HOU,SP,3.53,3.0,1,13,2.5,20.349%,mike burrows
Matt Strahm KCR,RP,3.53,3.0,1,10,2.1,33.14%,matt strahm
Carlos Cortes ATH,OF/RP,3.51,3.0,1,11,2.2,49.419%,carlos cortes
Gunnar Hoglund ATH,SP,3.5,3.5,3,4,1.9,0.581%,gunnar hoglund
Bobby Miller LAD,SP/RP,3.5,3.5,1,6,1.3,1.163%,bobby miller
Kruz Schoolcraft SDP A,SP,3.5,3.5,1,6,1.71,0.581%,kruz schoolcraft sdp a
Henry Davis PIT,C,3.5,2.0,1,9,1.1,1.163%,henry davis
Dedniel Nunez NYM,RP,3.5,3.5,1,6,1.3,0.581%,dedniel nunez
Zach Dezenzo HOU,OF,3.5,3.5,1,6,1.2,0.581%,zach dezenzo
Yu Darvish SDP,SP,3.5,1.0,1,11,1.0,1.163%,yu darvish
Jordan Walker STL,OF,3.49,3.0,1,33,10.0,100%,jordan walker
Rhett Lowder CIN,SP,3.48,3.0,1,11,2.0,60.174%,rhett lowder
Nick Castellanos FA,OF,3.48,1.0,1,15,2.7,6.686%,nick castellanos
Ryne Nelson ARI,SP/RP,3.47,3.0,1,10,2.9,36.628%,ryne nelson
Kyle Karros COL,3B,3.45,3.0,1,10,1.7,75.581%,kyle karros
Shane Smith CHW AAA,SP,3.44,3.0,1,12,1.7,20.93%,shane smith chw
Cade Povich BAL AAA,SP,3.43,3.0,1,8,1.7,4.07%,cade povich bal
Seth Halvorsen LAD AAA,RP,3.43,3.0,1,7,1.7,2.035%,seth halvorsen lad
Troy Melton DET,SP/RP,3.43,3.0,1,13,5.0,99.419%,troy melton
Dalton Rushing LAD,C,3.41,3.0,1,11,4.3,99.419%,dalton rushing
Brooks Lee MIN,2B/SS/3B,3.41,3.0,1,12,2.1,99.709%,brooks lee
JP Sears SDP,SP,3.4,5.0,1,5,1.0,1.453%,jp sears
Michael Wacha KCR,SP,3.39,3.0,1,10,2.6,97.384%,michael wacha
Davis Martin CHW,SP,3.36,2.0,1,13,2.7,99.419%,davis martin
Logan Allen CLE,SP,3.33,1.0,1,8,1.4,0.872%,logan allen
Termarr Johnson PIT AAA,2B,3.33,4.0,1,5,1.6,2.616%,termarr johnson pit
Thayron Liranzo DET A,C,3.33,3.0,2,5,1.6,0.872%,thayron liranzo det a
JoJo Romero STL,RP,3.33,3.0,1,12,2.1,61.337%,jojo romero
Jackson Jobe DET,SP,3.32,2.0,1,13,3.6,96.802%,jackson jobe
Jeff Mcneil ATH,2B/OF,3.32,3.0,1,25,1.8,37.5%,jeff mcneil
Blaze Jordan STL,1B/3B,3.31,3.0,1,12,2.6,34.302%,blaze jordan
Colt Emerson SEA,SS/3B,3.3,3.0,1,11,3.4,99.419%,colt emerson
Connor Prielipp MIN AAA,SP,3.3,3.0,1,10,3.0,83.721%,connor prielipp min
Michael Soroka ARI,SP/RP,3.29,3.0,1,10,3.1,98.837%,michael soroka
Spencer Arrighetti HOU,SP,3.29,3.0,1,11,2.8,79.942%,spencer arrighetti
Marcell Ozuna PIT,Util,3.27,2.0,1,15,2.0,13.953%,marcell ozuna
Kyle Harrison MIL,SP/RP,3.25,3.0,1,18,6.4,99.709%,kyle harrison
Dylan Smith SFG,RP,3.25,1.0,1,10,2.3,1.163%,dylan smith
Jake Bird NYY AAA,RP,3.25,3.5,2,4,1.5,1.163%,jake bird nyy
Ezequiel Duran TEX,1B/2B/SS/3B/OF,3.24,3.0,1,10,3.9,98.547%,ezequiel duran
Carson Williams TBR AAA,SS,3.23,3.0,1,9,2.5,48.837%,carson williams tbr
David Sandlin CHW AAA,SP/RP,3.22,2.0,1,8,2.2,5.233%,david sandlin chw
Thomas White MIA AAA,SP,3.21,3.0,1,10,2.3,81.686%,thomas white mia
Ryan Gusto MIA,SP/RP,3.2,3.0,1,5,1.1,1.453%,ryan gusto
Garrett Cleavinger TBR,RP,3.18,3.0,1,10,2.4,83.14%,garrett cleavinger
Josh Smith TEX AAA,1B/2B/SS/3B/OF,3.17,3.0,1,9,1.9,22.384%,josh smith tex
Ernie Clement TOR,1B/2B/SS/3B,3.17,3.0,1,11,3.2,100%,ernie clement
Austin Wells NYY,C,3.16,2.0,1,10,2.4,21.512%,austin wells
Ethan Holliday COL A,SS,3.16,2.0,1,17,2.1,50%,ethan holliday col a
Lenyn Sosa TOR,1B/2B,3.16,2.5,1,12,1.6,9.302%,lenyn sosa
Taj Bradley MIN,SP,3.15,2.0,1,14,4.3,99.419%,taj bradley
Tyler O'Neill BAL,OF,3.15,2.0,1,11,1.9,29.36%,tyler o neill
Chris Bassitt BAL,SP,3.13,3.0,1,15,1.6,15.407%,chris bassitt
Coby Mayo BAL,1B/3B,3.12,2.0,1,13,2.0,51.453%,coby mayo
Pierce Johnson CIN,RP,3.11,3.0,1,6,2.3,2.616%,pierce johnson
Jose Caballero NYY,2B/SS/3B/OF,3.09,3.0,1,17,3.1,95.058%,jose caballero
Aidan Miller PHI AAA,SS,3.09,3.0,1,9,1.8,87.5%,aidan miller phi
Riley O'Brien STL,RP,3.08,3.0,1,16,3.0,100%,riley o brien
Randy Vasquez SDP,SP,3.06,2.0,1,10,2.0,27.035%,randy vasquez
Liam Doyle STL AA,SP,3.05,3.0,1,9,2.1,76.453%,liam doyle stl
Dustin May STL,SP,3.04,3.0,1,19,3.4,99.709%,dustin may
Jack Perkins ATH,SP/RP,3.02,3.0,1,9,2.3,38.081%,jack perkins
Ronny Mauricio NYM AAA,2B/SS/3B,3.0,2.0,1,7,1.8,4.942%,ronny mauricio nym
James Karinchak ATL AAA,RP,3.0,3.0,3,3,1.3,0.291%,james karinchak atl
Trevor Williams WSN,SP,3.0,3.0,1,5,1.6,0.581%,trevor williams
Bailey Falter KCR AAA,SP/RP,3.0,3.0,3,3,1.3,0.291%,bailey falter kcr
Andrew Saalfrank ARI,RP,3.0,3.0,1,5,2.5,0.872%,andrew saalfrank
Osvaldo Bido FA,SP/RP,3.0,3.0,3,3,1.7,0.291%,osvaldo bido
Joe Whitman SFG AAA,SP/RP,3.0,3.0,2,4,2.0,0.581%,joe whitman sfg
Danny Coulombe FA,RP,3.0,3.0,3,3,1.5,0.291%,danny coulombe
Steven Cruz KCR,RP,3.0,3.0,1,5,1.5,0.581%,steven cruz
Kyle Gibson TBR AAA,SP/RP,3.0,3.0,3,3,1.2,0.291%,kyle gibson tbr
Luis Mey CIN AAA,RP,3.0,3.0,3,3,1.3,0.581%,luis mey cin
Adael Amador COL AAA,2B,3.0,2.0,1,6,1.8,2.326%,adael amador col
Tyler Fitzgerald LAD AAA,2B,3.0,1.0,1,9,2.3,1.163%,tyler fitzgerald lad
Luis Garcia NYY,SP/RP,3.0,3.0,3,3,1.5,0.291%,luis garcia
Cristian Mena ARI,SP/RP,3.0,3.0,3,3,1.0,0.291%,cristian mena
Eric Wagaman NYM AAA,1B/OF,3.0,3.0,3,3,1.6,0.291%,eric wagaman nym
Jeimer Candelario LAA AAA,1B/3B,3.0,3.0,3,3,1.3,0.291%,jeimer candelario laa
Khal Stephen CLE AA,SP,3.0,3.0,2,4,1.4,0.581%,khal stephen cle
Mark Vientos NYM,1B/3B,3.0,2.0,1,12,2.7,35.174%,mark vientos
Marco Luciano NYY AAA,2B/OF,3.0,3.0,1,5,1.5,0.581%,marco luciano nyy
Trey Sweeney DET,SS,3.0,3.0,3,3,1.7,0.291%,trey sweeney
Patrick Bailey CLE,C,3.0,1.0,1,8,1.4,1.453%,patrick bailey
Jesse Winker NYM AAA,Util,3.0,3.0,3,3,1.6,0.291%,jesse winker nym
Shay Whitcomb HOU AAA,2B/3B/OF,3.0,3.0,3,3,1.9,0.291%,shay whitcomb hou
Luis Matos MIL AAA,OF,3.0,3.0,3,3,1.8,0.291%,luis matos mil
Ivan Melendez ARI AAA,1B,3.0,3.0,3,3,1.6,0.291%,ivan melendez ari
Jose Trevino CIN,C,3.0,3.0,3,3,1.2,0.291%,jose trevino
Chase Davis STL AAA,OF,3.0,3.0,3,3,1.25,0.291%,chase davis stl
Luis Ortiz CLE,SP,3.0,3.0,3,3,2.1,0.291%,luis ortiz
Josiah Gray WSN,RP,3.0,3.0,3,3,1.6,0.291%,josiah gray
Markevian Hence STL AAA,SP/RP,3.0,3.0,1,5,1.6,2.035%,markevian hence stl
Enrique Hernandez LAD,1B/2B/3B/OF/RP,3.0,3.0,3,3,1.7,0.581%,enrique hernandez
David Fry CLE,OF,3.0,3.0,3,3,1.5,0.291%,david fry
Cionel Perez NYM,RP,3.0,3.0,3,3,1.4,0.291%,cionel perez
Wilmer Flores,1B,3.0,3.0,3,3,1.5,0.291%,wilmer flores
Nacho Alvarez Jr. ATL AAA,3B,3.0,3.0,3,3,1.4,0.291%,nacho alvarez atl
Manuel Rodriguez TBR,RP,3.0,3.0,1,5,1.1,0.581%,manuel rodriguez
Tyler Wells BAL,SP/RP,2.99,2.0,1,15,2.8,76.163%,tyler wells
Connor Norby MIA AAA,1B/3B,2.98,1.0,1,17,2.4,17.151%,connor norby mia
J.T. Realmuto PHI,C,2.97,2.0,1,18,1.8,50.291%,j t realmuto
Christian Scott NYM,SP,2.97,3.0,1,11,5.0,96.802%,christian scott
Bryce Elder ATL,SP,2.93,2.0,1,12,3.1,74.709%,bryce elder
Josue De Paula LAD AA,OF,2.93,3.0,1,8,3.1,99.419%,josue de paula lad
Justin Crawford PHI,OF,2.93,2.0,1,12,1.9,77.907%,justin crawford
Charlie Condon COL AAA,1B/OF,2.93,2.0,1,11,3.3,99.128%,charlie condon col
Sam Antonacci CHW,2B/3B/OF,2.92,3.0,1,10,4.8,99.709%,sam antonacci
Ian Seymour TBR,SP/RP,2.91,2.0,1,12,2.4,95.93%,ian seymour
Kirby Yates LAA,RP,2.91,2.0,1,13,2.6,49.419%,kirby yates
Jacob Latz TEX,SP/RP,2.9,2.0,1,13,3.5,99.709%,jacob latz
Anthony Santander TOR,OF,2.9,2.0,1,24,2.0,57.558%,anthony santander
Cole Young SEA,2B/SS,2.9,3.0,1,10,3.0,99.128%,cole young
Gage Jump ATH,SP,2.89,2.0,1,11,3.9,99.419%,gage jump
Chris Martin TEX AAA,RP,2.89,2.0,1,9,1.4,5.233%,chris martin tex
Alexis Diaz TEX AAA,RP,2.88,1.0,1,9,1.1,2.326%,alexis diaz tex
Victor Mesa Jr. TBR,OF,2.87,1.0,1,10,2.6,4.36%,victor mesa
Casey Schmitt SFG,1B/2B/3B/OF,2.87,2.0,1,12,4.7,99.709%,casey schmitt
Cody Ponce TOR,SP/RP,2.87,2.0,1,14,1.9,51.744%,cody ponce
Gavin Stone LAD,RP,2.86,2.0,1,8,1.2,2.035%,gavin stone
Joe Musgrove SDP,RP,2.85,3.0,1,27,2.0,74.709%,joe musgrove
Seth Lugo KCR,SP,2.85,2.0,1,16,3.2,57.558%,seth lugo
Cole Winn TEX,RP,2.85,2.0,1,8,2.0,3.779%,cole winn
Heston Kjerstad BAL AAA,OF,2.85,1.0,1,8,1.8,3.779%,heston kjerstad bal
Braden Montgomery CHW,OF,2.84,2.0,1,19,3.5,98.256%,braden montgomery
Lourdes Gurriel Jr. ARI,OF,2.84,1.0,1,17,2.0,35.756%,lourdes gurriel
Emmanuel Rodriguez MIN AAA,OF,2.84,3.0,1,10,2.8,79.36%,emmanuel rodriguez min
Angel Martinez CLE,2B/OF,2.83,2.0,1,9,2.7,80.523%,angel martinez
Logan O'Hoppe LAA,C,2.83,1.0,1,12,2.9,28.779%,logan o hoppe
Orion Kerkering PHI,RP,2.83,2.0,1,11,1.7,77.616%,orion kerkering
Robby Snelling MIA,SP/RP,2.83,2.0,1,12,2.5,62.209%,robby snelling
Luis Morales ATH AAA,SP/RP,2.82,2.0,1,8,2.2,3.198%,luis morales ath
Andrew Vaughn MIL,1B,2.81,2.5,1,12,2.0,77.326%,andrew vaughn
Reid Detmers LAA,SP/RP,2.81,3.0,1,16,5.4,99.419%,reid detmers
Jason Foley SFG,RP,2.8,2.0,1,7,1.2,2.907%,jason foley
Ryan Waldschmidt ARI,OF,2.8,2.0,1,10,2.3,98.547%,ryan waldschmidt
Seth Hernandez PIT A+,SP,2.8,2.0,1,11,4.0,95.058%,seth hernandez pit
Brady House WSN AAA,3B,2.8,2.0,1,9,1.8,31.686%,brady house wsn
Tyler Mahle SFG,SP,2.79,3.0,1,8,1.7,29.36%,tyler mahle
Chad Patrick MIL,SP/RP,2.79,3.0,1,12,2.4,62.5%,chad patrick
Chase Dollander COL,SP/RP,2.79,2.0,1,10,2.1,52.326%,chase dollander
Landen Roupp SFG,SP,2.79,2.0,1,10,3.8,98.837%,landen roupp
Hunter Gaddis CLE,RP,2.78,3.0,1,12,2.3,70.93%,hunter gaddis
Bailey Ober MIN,SP,2.78,2.0,1,16,2.4,34.593%,bailey ober
Drew Gilbert SFG,OF,2.78,3.0,1,6,1.1,2.616%,drew gilbert
Jeremiah Jackson BAL,2B/SS/3B/OF,2.78,3.0,1,8,1.9,23.547%,jeremiah jackson
Anthony Volpe NYY,SS,2.78,1.5,1,17,2.4,65.116%,anthony volpe
Tyler Holton DET,SP/RP,2.77,1.0,1,12,1.3,6.395%,tyler holton
James Tibbs III LAD AAA,1B/OF,2.77,3.0,1,11,2.2,84.302%,james tibbs lad
Alex Vesia LAD,RP,2.77,3.0,1,12,3.0,99.128%,alex vesia
Ryan McMahon NYY,3B,2.76,1.0,1,21,1.8,9.884%,ryan mcmahon
Edwin Arroyo CIN,2B/SS,2.76,2.0,1,7,2.2,51.163%,edwin arroyo
Robert Hassell III PIT ST,OF,2.75,2.5,1,5,1.3,2.326%,robert hassell pit
Thomas Harrington PIT AAA,SP/RP,2.75,3.0,1,4,1.6,1.163%,thomas harrington pit
Paul Sewald ARI,RP,2.75,2.0,1,20,2.9,96.221%,paul sewald
Ildemaro Vargas ARI,1B/2B/3B,2.74,2.0,1,13,1.9,27.326%,ildemaro vargas
Heriberto Hernandez MIA,OF,2.74,2.0,1,11,2.8,81.105%,heriberto hernandez
Colby Thomas ATH,OF,2.74,3.0,1,5,2.1,7.849%,colby thomas
Brad Keller PHI,RP,2.74,3.0,1,9,2.2,21.221%,brad keller
Edwin Uceta TBR,RP,2.74,2.0,1,13,1.9,49.128%,edwin uceta
Luke Weaver NYM,RP,2.73,2.0,1,9,2.2,98.837%,luke weaver
Jeffrey Springs ATH,SP,2.73,2.0,1,12,2.4,23.256%,jeffrey springs
Jose A. Ferrer SEA,RP,2.72,3.0,1,8,2.1,75.581%,jose a ferrer
Reynaldo Lopez ATL,SP/RP,2.72,2.0,1,14,2.0,52.326%,reynaldo lopez
Jacob Gonzalez PIT,1B/2B/SS,2.72,2.0,1,10,2.8,55.233%,jacob gonzalez
Tyler Black MIL AAA,1B/OF,2.71,1.0,1,7,1.5,2.035%,tyler black mil
River Ryan LAD AAA,SP/RP,2.71,2.0,1,9,2.3,91.86%,river ryan lad
Jett Williams MIL AAA,2B/SS/3B/OF,2.7,2.0,1,8,2.0,84.884%,jett williams mil
Jordan Romano COL,RP,2.7,2.0,1,6,2.5,15.407%,jordan romano
Ty France SDP,1B,2.69,1.0,1,9,2.4,3.779%,ty france
Jacob Webb CHC,RP,2.69,1.0,1,13,2.4,34.593%,jacob webb
Karson Milbrandt MIA AAA,SP,2.69,2.0,1,10,2.4,72.674%,karson milbrandt mia
Jurickson Profar ATL,OF,2.69,2.0,1,11,1.7,18.605%,jurickson profar
Joe Boyle TBR AAA,SP/RP,2.68,3.0,1,7,1.8,23.837%,joe boyle tbr
Eli Willits WSN A+,SS,2.68,2.0,1,14,3.3,86.337%,eli willits wsn
Luis Lara MIL,OF,2.68,2.0,1,10,3.3,94.477%,luis lara
Dominic Canzone SEA,OF,2.67,2.0,1,21,3.9,99.419%,dominic canzone
Jake Cronenworth SDP,1B/2B/SS,2.67,2.0,1,7,1.6,24.709%,jake cronenworth
Mark Leiter Jr. ATH,RP,2.67,2.0,1,10,1.5,6.977%,mark leiter
Caden Dana LAA AAA,SP,2.67,1.0,1,6,1.0,0.872%,caden dana laa
Danny Jansen TEX,C,2.67,2.0,1,5,1.2,0.872%,danny jansen
Andrew McCutchen ATL AAA,OF,2.67,1.0,1,14,1.0,2.616%,andrew mccutchen atl
MJ Melendez NYM AAA,OF,2.67,1.0,1,7,1.0,1.744%,mj melendez nym
Keegan Akin BAL,RP,2.67,2.0,1,7,1.0,1.744%,keegan akin
AJ Smith-Shawver ATL,SP,2.66,2.0,1,8,2.7,81.105%,aj smith shawver
Jake Bauers MIL,1B/OF/RP,2.66,2.0,1,10,5.6,94.477%,jake bauers
Tyler Rogers TOR,RP,2.65,3.0,1,11,1.6,88.372%,tyler rogers
Gabe Speier SEA,RP,2.64,3.0,1,9,1.9,66.279%,gabe speier
Yoendrys Gomez MIN,SP/RP,2.64,2.0,1,10,2.7,88.953%,yoendrys gomez
Elvis Alvarado ATH,RP,2.63,2.0,1,10,1.9,27.035%,elvis alvarado
Sean Burke CHW,SP/RP,2.63,2.0,1,9,3.4,99.128%,sean burke
Erik Sabrowski CLE,RP,2.62,2.0,1,10,2.2,92.733%,erik sabrowski
Foster Griffin WSN,SP,2.62,2.0,1,10,4.0,97.093%,foster griffin
Gavin Sheets SDP,1B/OF,2.62,2.0,1,9,1.7,92.733%,gavin sheets
Bryan Baker TBR,RP,2.61,2.0,1,12,3.4,99.709%,bryan baker
Franklin Arias BOS AA,SS,2.61,2.0,1,9,3.1,97.384%,franklin arias bos
Matthew Liberatore STL,SP/RP,2.61,2.0,1,19,1.7,31.686%,matthew liberatore
Jake Burger TEX,1B,2.6,2.0,1,15,1.3,75%,jake burger
Yimi Garcia TOR,RP,2.59,1.0,1,16,1.2,7.849%,yimi garcia
Lazaro Montes SEA AAA,OF,2.59,2.0,1,8,3.4,78.488%,lazaro montes sea
Joshua Baez STL AAA,OF,2.58,2.0,1,9,4.3,98.547%,joshua baez stl
Liam Hicks MIA,C/1B,2.57,2.0,1,11,3.6,100%,liam hicks
Jakob Junis TEX,RP,2.57,2.0,1,12,1.7,60.465%,jakob junis
Chase Meidroth CHW,2B/SS,2.56,2.0,1,8,1.4,97.384%,chase meidroth
Quinn Mathews STL AAA,SP,2.56,2.0,1,7,2.4,33.43%,quinn mathews stl
Wenceel Perez DET,OF,2.56,3.0,1,5,2.0,2.616%,wenceel perez
Victor Scott II STL AAA,OF,2.55,1.0,1,11,2.1,8.43%,victor scott stl
Hagen Smith CHW AAA,SP,2.55,2.0,1,9,1.5,78.779%,hagen smith chw
Jonathan India KCR,2B/3B/OF,2.54,1.0,1,19,1.7,19.767%,jonathan india
Jorge Soler LAA,OF,2.54,2.0,1,11,2.7,77.616%,jorge soler
Cooper Pratt MIL,SS,2.53,2.0,1,11,2.9,65.988%,cooper pratt
Jason Adam SDP,RP,2.53,1.5,1,11,1.6,51.744%,jason adam
Ben Brown CHC,SP/RP,2.53,2.0,1,11,2.1,98.547%,ben brown
Dillon Dingler DET,C,2.53,3.0,1,9,3.9,99.709%,dillon dingler
J.T. Ginn ATH,SP/RP,2.52,2.0,1,9,1.7,83.14%,j t ginn
Gregory Soto PIT,RP,2.52,2.0,1,9,1.6,94.477%,gregory soto
Sean Manaea NYM,SP/RP,2.52,2.0,1,13,2.1,43.314%,sean manaea
Zyhir Hope LAD AA,OF,2.51,2.0,1,8,4.4,84.884%,zyhir hope lad
Aaron Bummer KCR ST,RP,2.5,2.5,2,3,1.1,0.581%,aaron bummer kcr
Pavin Smith ARI AAA,1B,2.5,3.0,1,4,1.2,1.744%,pavin smith ari
Ryan Pressly FA,RP,2.5,2.5,2,3,1.3,0.581%,ryan pressly
Jalen Beeks TEX,RP,2.5,2.0,1,5,1.2,1.163%,jalen beeks
Kyle Freeland COL,SP,2.5,2.5,2,3,1.2,0.581%,kyle freeland
Bowden Francis TOR,SP,2.5,2.5,1,4,1.9,0.581%,bowden francis
Jonny Farmelo SEA AA,OF,2.5,2.5,1,4,1.9,1.744%,jonny farmelo sea
Chase Petty CIN,SP/RP,2.5,3.0,1,4,2.0,2.326%,chase petty
JR Ritchie ATL,SP/RP,2.5,2.0,1,9,2.6,47.965%,ritchie
Louis Varland TOR,RP,2.49,2.0,1,11,3.8,100%,louis varland
Spencer Horwitz PIT,1B,2.49,2.0,1,11,1.7,73.256%,spencer horwitz
Garrett Mitchell MIL,OF,2.48,2.0,1,9,3.4,95.64%,garrett mitchell
Yusei Kikuchi LAA,SP,2.47,1.0,1,11,1.3,26.163%,yusei kikuchi
Ha-seong Kim ATL,2B/SS,2.46,1.5,1,7,1.5,7.558%,ha seong kim
Daniel Lynch IV KCR,RP,2.46,2.0,1,8,1.9,75.581%,daniel lynch
Cristian Javier HOU,SP,2.46,2.0,1,8,1.7,17.151%,cristian javier
Ryan Jeffers MIN,C,2.45,2.0,1,11,3.1,96.221%,ryan jeffers
Jesus Sanchez TOR,OF,2.45,1.0,1,11,2.0,68.895%,jesus sanchez
Drew Burress,Util,2.44,2.0,1,11,2.4,12.5%,drew burress
Zach Eflin BAL,SP,2.44,1.0,1,22,1.5,15.988%,zach eflin
Harrison Bader SFG,OF,2.43,2.5,1,9,1.7,8.721%,harrison bader
Brandon Walter HOU,SP/RP,2.43,3.0,1,4,1.8,2.035%,brandon walter
Drew Thorpe CHW,RP,2.43,1.0,1,7,1.8,2.035%,drew thorpe
Fernando Cruz NYY,RP,2.42,2.0,1,8,1.9,94.186%,fernando cruz
Ryan Sloan SEA AA,SP,2.42,2.0,1,9,4.0,95.64%,ryan sloan sea
Rico Garcia BAL,RP,2.42,2.0,1,11,2.0,87.5%,rico garcia
Alex Freeland LAD,2B/SS/3B,2.41,2.0,1,7,1.8,11.919%,alex freeland
Sean Murphy ATL,C,2.41,1.0,1,17,1.9,11.337%,sean murphy
Matt Svanson STL,RP,2.41,2.0,1,6,1.7,9.302%,matt svanson
Victor Vodnik COL,RP,2.4,1.0,1,9,1.7,13.663%,victor vodnik
Juan Morillo ARI,RP,2.4,2.0,1,8,1.4,82.558%,juan morillo
Jameson Taillon CHC,SP,2.4,1.0,1,10,2.0,12.5%,jameson taillon
Ricky Tiedemann TOR A,RP,2.39,2.0,1,8,1.7,5.233%,ricky tiedemann tor a
Cam Cannarella MIA AAA,OF,2.39,1.5,1,7,2.3,10.465%,cam cannarella mia
Parker Meadows DET,OF,2.39,1.0,1,8,1.7,14.244%,parker meadows
Brandon Pfaadt ARI,SP/RP,2.38,1.0,1,14,1.8,41.86%,brandon pfaadt
Jose Berrios TOR,SP,2.38,1.0,1,9,3.4,8.43%,jose berrios
Steven Matz TBR AAA,SP/RP,2.38,1.0,1,17,1.5,8.43%,steven matz tbr
Taylor Rogers MIN,RP,2.38,1.0,1,12,2.0,10.756%,taylor rogers
Mike Sirota LAD AA,OF,2.38,2.0,1,11,3.6,78.488%,mike sirota lad
Kaelen Culpepper MIN AAA,SS,2.37,2.0,1,8,2.5,94.477%,kaelen culpepper min
Walbert Urena LAA,SP/RP,2.37,2.0,1,11,2.8,92.442%,walbert urena
